"","SampleID","16S COPIES/G","Treatment","Time_point","genus","color_label_group","count_relative","count_absolute","log_count.absolute"
"407","2-D-3",541946100.917432,"Fludarabine","4d","Turicibacter","o__Erysipelotrichales",0.0390305478414542,21152453.2193474,16.8672664481886
"408","2-D-3",541946100.917432,"Fludarabine","4d","Turicibacter","o__Erysipelotrichales",0.0330724564503913,17923488.8210512,16.7016226352364
"409","2-D-3",541946100.917432,"Fludarabine","4d","Olsenella","p__Actinobacteria",0.0206176891357401,11173676.2370421,16.2290712339119
"410","2-D-3",541946100.917432,"Fludarabine","4d","Olsenella","p__Actinobacteria",0.0195741816039721,10608151.3989224,16.1771332634517
"411","2-D-3",541946100.917432,"Fludarabine","4d","Alistipes","p__Bacteroidetes",0.0168139358747791,9112246.98841227,16.0251298895816
"412","2-D-3",541946100.917432,"Fludarabine","4d","Alistipes","p__Bacteroidetes",0.0140705209122276,7625463.94625894,15.8470037240178
"413","2-D-3",541946100.917432,"Fludarabine","4d","Duncaniella","p__Bacteroidetes",0.0131784902802323,7142031.42335017,15.7815078069239
"414","2-D-3",541946100.917432,"Fludarabine","4d","Sporofaciens","f__Lachnospiraceae",0.0116805520491458,6330229.63959769,15.6608470714398
"415","2-D-3",541946100.917432,"Fludarabine","4d","Sporofaciens","f__Lachnospiraceae",0.0116300597492216,6302865.53452742,15.6565149347007
"416","2-D-3",541946100.917432,"Fludarabine","4d","Duncaniella","p__Bacteroidetes",0.0114954136160902,6229894.58767324,15.6448699705038
"417","2-D-3",541946100.917432,"Fludarabine","4d","Eubacterium","o__Clostridiales",0.0112429521164689,6093074.06232171,15.6226632844697
"418","2-D-3",541946100.917432,"Fludarabine","4d","Eubacterium","o__Clostridiales",0.00944206008583691,5117087.64814743,15.4480960164557
"419","2-D-3",541946100.917432,"Fludarabine","4d","Mediterraneibacter","f__Lachnospiraceae",0.00868467558697299,4706626.07209282,15.3644818764146
"420","2-D-3",541946100.917432,"Fludarabine","4d","Muribaculum","p__Bacteroidetes",0.0082807371875789,4487713.23153037,15.3168538274254
"421","1-A-4",434433944.5629,"Control","7d","Duncaniella","p__Bacteroidetes",0.108018208488571,46926776.3983076,17.6640989958377
"422","1-A-4",434433944.5629,"Control","7d","Duncaniella","p__Bacteroidetes",0.0833499762408148,36210058.9575212,17.4048475099515
"423","1-A-4",434433944.5629,"Control","7d","Turicibacter","o__Erysipelotrichales",0.079238604199522,34423939.3840567,17.3542627926362
"424","1-A-4",434433944.5629,"Control","7d","Turicibacter","o__Erysipelotrichales",0.0767593848781395,33346882.354832,17.3224748433424
"425","1-A-4",434433944.5629,"Control","7d","Lactobacillus","g__Lactobacillus",0.0554174385532378,24075216.4282552,16.996693505359
"426","1-A-4",434433944.5629,"Control","7d","Lactobacillus","g__Lactobacillus",0.0424359707176651,18435626.150231,16.7297955543695
"427","1-A-4",434433944.5629,"Control","7d","Clostridium","o__Clostridiales",0.0209011962233226,9080189.12138123,16.0216055787065
"428","1-A-4",434433944.5629,"Control","7d","Marvinbryantia","f__Lachnospiraceae",0.0203571453166858,8843834.93996798,15.995231157281
"429","1-A-4",434433944.5629,"Control","7d","Marvinbryantia","f__Lachnospiraceae",0.0181878284104761,7901410.03939631,15.8825517875101
"430","1-A-4",434433944.5629,"Control","7d","Clostridium","o__Clostridiales",0.0167622773006811,7282102.24759205,15.8009301487604
