"oligos_id","asv_id","count"
"C013785","00bd67c6374833d81b59d7abe00bf603",19
"C013785","0173407a5eb79c4829e55f4132975052",55
"C013785","01ee860159f2eb326a00dde356a7b986",50
"C013785","01eef3dbad8ac2c5514aae9a90184281",24
"C013785","0249c64bcf8a7c6f7b8aaade962f8646",2
"C013785","03152a4b116dd8901e1cdd13423129f6",83
"C013785","049b207cdb491466806eaac65d211658",10
"C013785","04b385ed1930e1199caddad6ff41d08c",6
"C013785","0534945e9e1655a43c8c2a183be4f28f",53
"C013785","0543d4d329020f8ae4490100095aca11",7
"C013785","054f65da669ac1814c0345e457ff93b3",79
"C013785","05a819ff579f5e2837ab9a8829a06465",6
"C013785","0625baaa6d6edc748260e716624da7d4",15
"C013785","078f34a07d7c5fe0f9aae7a5a8df94e7",37
"C013785","079ec0c68673c967ff520369821161c3",7
"C013785","07e3572852cdb10087ad55a54b7da2f2",2
"C013785","07fd8c0c4ea60e1abe7940f65db736b4",8
"C013785","0853800deb7219feffa64c42e0067a5c",9
"C013785","086e03b8b3b3aab02a74bfee48279145",5949
"C013785","0906050b1f59bde0aa8973e2c64fe277",3
"C013785","0909da94bf4f5e3169a43b267ef4bd14",107
"C013785","0979959228c6f998b43e5b46b14ec14d",16
"C013785","0a161eb2cb86d8a78d36c3d4f4a12a53",19
"C013785","0a26b47cfe5ab9e312d8780d2a41683a",3
"C013785","0b99251097860a179b9c8d7a178fe9fb",7
"C013785","0bb5e2771d358e6b33c6a163026723ef",62
"C013785","0cd12e08e484507ec7a34fffb4f8a431",27
"C013785","0cfe17eb8769cdb0724ffd25952b1da6",495
"C013785","0df7be7fe559acd1c045dc8a7ceb8793",12
"C013785","0e5335ecc427324f9642211f2550532f",5
"C013785","0ee39a89bd77712537e10ac78985e1db",12
"C013785","0f36ead5f45a605bd1a10c88db440518",30
"C013785","0f8d4aecc286525aca2af07ae1c48b52",53
"C013785","1092eeaa201d79ccd1c569fd2df7c1eb",24
"C013785","110ddafafff3a28bf30fa491245965a6",57
"C013785","1166ee1b73cac9acbb7c48473bc562ca",20
"C013785","11cfc23849159b5fe6fd6fb3a543abbe",884
"C013785","134e5f52c8f56263d0c402d04b7fa4d6",135
"C013785","13f2dac7bba3dcd62c88ff8e2db3e416",6
"C013785","16151df2e965ce1768c2e0e8f5c0dac2",12
"C013785","16757d4adba37fc32677b0f0b5567b98",8
"C013785","16ad4ab708c726baa6608b4b5726b5cd",43
"C013785","170252e9e1bb4c2fe5d0b93e22151ce1",4
"C013785","17cb9f6d8a350ac88b4d09304c56e269",333
"C013785","18e4c7b40075340794f5cc08f5ea96da",106
"C013785","191996f13833196266b39bbc31c43d2c",14
"C013785","19201781b63f3ecbf273e71a0babe3c3",9
"C013785","19d6b53f148a4cccd087666096b23f84",11
"C013785","1a384eab0087503560e19814ad080bf1",20
"C013785","1a51e84da96a6068b0bf33f192b224ad",32
"C013785","1af3f8347c5cac5269897e0028d8dcbc",7
"C013785","1cbe0fb0affa5a9db8f2a55815eaa9c7",34
"C013785","1d5e161ca0f974bd1c4f96f8081b29d6",14
"C013785","1eeb84bdb0f4c9b676a349570510da80",11107
"C013785","1f4e5804af1c0b93f3102e4e88060ca3",61
"C013785","1fd8938599cdea875e12e8b50b978197",51
"C013785","22906dbbc966f0b092d8930fbf844b36",5490
"C013785","23bef5626239d71a123b23a91708ad8a",32
"C013785","240a754a1528919bcbb0b6058ee68df5",3
"C013785","24f88d9332a749ad17ced435a681fe19",3
"C013785","2795d4edd38c24083ed82a149eb77a4b",10
"C013785","28807698048ccc57ee4368b22f508ef8",16
"C013785","29ebabc5385e9fdebb6addbd8e9639d5",256
"C013785","2ab9dca605f9917cb9b5911f55c93e51",41
"C013785","2b092e88b9a8a8eac10e710a4136caae",3
