"oligos_id","asv_md5","count"
"C013838","d9f6dae59e085f8c5ef3fd45fcfd271f",557
"C013838","ff4168f7dcc985c792c8d4ba79ca410e",451
"C013838","086e03b8b3b3aab02a74bfee48279145",439
"C013838","22906dbbc966f0b092d8930fbf844b36",207
"C013838","1eeb84bdb0f4c9b676a349570510da80",545
"C013838","3e284a23c7e3951c79a8fc7840b58e1d",494
"C013838","e980674deef10b8eb25f03073b8a876d",19
"C013838","4341830a92aacecc15fda36fdb3f894d",39
"C013838","a578695a6ce9b9ae43c22aa71e44aab5",519
"C013838","b9ec8c7459ca9383e76b6ca9b415ade5",384
"C013838","0df7be7fe559acd1c045dc8a7ceb8793",395
"C013838","dc1217df2cdede4f24cbe9d348298f2f",296
"C013838","783aee24cbdbce7e111cc6d05e5348d0",70
"C013838","c63fee580dc2ab4930311598ced1d31c",84
"C013838","5e0eda046447a51941b516476494eb49",94
"C013838","635c747d1aecc4045716d96334169bc0",59
"C013838","f1e76caf67a9cf8ecad55288e78992e2",11
"C013838","52ff8efa6737ad51930a68dbaea8974b",79
"C013838","1f65b5fb8869acfa36b690ba097a7882",210
"C013838","3d8383ac987b8b096c7ac0ef202dd885",127
"C013838","3f279abfe07648d45b1b6da4a0ef5ef8",66
"C013838","17cb9f6d8a350ac88b4d09304c56e269",15
"C013838","df7c1a04e127721f10462730ee129835",24
"C013838","229138bdd7d280236427a8e8c0b5fb8b",255
"C013838","4bd211cbcbe46dcacc41ad67433c789b",263
"C013838","e31a4d211f33dc5810ae54f9d4135e6e",78
"C013838","de593e9c4dfe2bcd3bd5bb39b0d9d8d1",4
"C013838","83ddd4f903918cc10374dde62b3a1eb3",50
"C013838","8e5d5ea573f589810c4e0ee553cc29b8",134
"C013838","c8cbf77ec7c350addcde0b8cc85d38e0",101
"C013838","f8fac284cdb47372db1771ff91901f18",59
"C013838","3a47ad4b33c086f26eea8e258ec76698",82
"C013838","71b0fdcbe1190a49a747e9d0d30e8be9",183
"C013838","eb6e557cfe22d37e8352511360e98547",29
"C013838","f926917fe99bca15c4b5844a4aec4a13",16
"C013838","a64c6c2abe1c1a45c22a2a2e1dab3126",76
"C013838","de9b13854a2089f5ba7bd46e6b11f6aa",87
"C013838","184a8e859ea6101038fb22469ccfb5ac",62
"C013838","29ebabc5385e9fdebb6addbd8e9639d5",23
"C013838","cfa0e5d56bcf6ea68f4d852d90cf1a4c",12
"C013838","824a22b5dc30a5641089a9bf5f89ef33",134
"C013838","db09a91ce6e211f57c186edeb3dcb96c",143
"C013838","a168cc365c5aa0b3e54939520e0babfb",118
"C013838","919e35cff4af814b76304c49f5107f19",20
"C013838","5ad82c92d61d894575b9b166743f67cd",16
"C013838","76c223d5ee1f6e0538666467d724dafc",4
"C013838","c9a4c820979c8dcc826bffd02af9a151",19
"C013838","39bff7ee94907d997b0193107ed55afe",12
"C013838","b951d5ff72232e053249f7b78d41a911",11
"C013838","f244166d142d724695ec3dc68932ee0b",7
"C013838","a5457aa8792c14c5aa719f533dea7dea",29
"C013838","9ceb8b24cebd5a1ceea45507f2a15c01",79
"C013838","45edbfee65f6325d96bcffda1973f09f",108
"C013838","56b7ac679ca96cedc4ea25826bbbd056",29
"C013838","a433f8831ed274a4e108335a4dbacb42",136
"C013838","eab549c9aefa6c50b3fd7dd111d11ab4",116
"C013838","4f6b8098770ddb1a03001b1760770c98",11
"C013838","905e11a8eea57bf3e99943efd6a93b20",53
"C013838","caeac88382ac46c6b91f012899e61df3",93
"C013838","6ab9bbcbd4ea577b126e62b09372b1b0",49
"C013838","d278d54b2a182c59ab52865ca2ecf964",5
"C013838","817082870b394805a5041d87dd09ba13",24
"C013838","78cf67b271bdcf1027a55dcfdb439f49",8
"C013838","e17ed784f4d47713b4dcdc3323add449",32
"C013838","6a4a331558040c9bc388ec6cc67e7c50",5
"C013838","11cfc23849159b5fe6fd6fb3a543abbe",10
