"oligos_id","asv_md5","count"
"C013785","d9f6dae59e085f8c5ef3fd45fcfd271f",17097
"C013785","ff4168f7dcc985c792c8d4ba79ca410e",17858
"C013785","1eeb84bdb0f4c9b676a349570510da80",5765
"C013785","3e284a23c7e3951c79a8fc7840b58e1d",5753
"C013785","086e03b8b3b3aab02a74bfee48279145",3035
"C013785","22906dbbc966f0b092d8930fbf844b36",2801
"C013785","5e0eda046447a51941b516476494eb49",388
"C013785","c63fee580dc2ab4930311598ced1d31c",382
"C013785","e980674deef10b8eb25f03073b8a876d",8
"C013785","4341830a92aacecc15fda36fdb3f894d",22
"C013785","783aee24cbdbce7e111cc6d05e5348d0",162
"C013785","a578695a6ce9b9ae43c22aa71e44aab5",5
"C013785","635c747d1aecc4045716d96334169bc0",164
"C013785","df7c1a04e127721f10462730ee129835",154
"C013785","17cb9f6d8a350ac88b4d09304c56e269",183
"C013785","29ebabc5385e9fdebb6addbd8e9639d5",132
"C013785","52ff8efa6737ad51930a68dbaea8974b",382
"C013785","cfa0e5d56bcf6ea68f4d852d90cf1a4c",140
"C013785","3f279abfe07648d45b1b6da4a0ef5ef8",352
"C013785","de9b13854a2089f5ba7bd46e6b11f6aa",144
"C013785","dd6063c0003a6c0d25bf5a8914770a18",11
"C013785","a64c6c2abe1c1a45c22a2a2e1dab3126",154
"C013785","8e5d5ea573f589810c4e0ee553cc29b8",19
"C013785","eb6e557cfe22d37e8352511360e98547",125
"C013785","f926917fe99bca15c4b5844a4aec4a13",139
"C013785","e31a4d211f33dc5810ae54f9d4135e6e",199
"C013785","83ddd4f903918cc10374dde62b3a1eb3",208
"C013785","3a47ad4b33c086f26eea8e258ec76698",200
"C013785","f8fac284cdb47372db1771ff91901f18",179
"C013785","3db9af69aed5d5b30f60051aeaae9813",8
"C013785","919e35cff4af814b76304c49f5107f19",77
"C013785","5ad82c92d61d894575b9b166743f67cd",71
"C013785","a433f8831ed274a4e108335a4dbacb42",109
"C013785","75178890a3690fb184b441a1a55b4e3c",68
"C013785","86c12c9ac8c88fd5a15aa18d8e728807",16
"C013785","b802e6277d40c82d60fee0e857f3bb67",302
"C013785","c9a4c820979c8dcc826bffd02af9a151",36
"C013785","4f6b8098770ddb1a03001b1760770c98",72
"C013785","01eef3dbad8ac2c5514aae9a90184281",14
"C013785","56b7ac679ca96cedc4ea25826bbbd056",142
"C013785","a5457aa8792c14c5aa719f533dea7dea",145
"C013785","eb51ff3c03b8e2491912884e2b99ecb5",71
"C013785","e7ecec74c0b426001fce6309bd640ca0",87
"C013785","caeac88382ac46c6b91f012899e61df3",101
"C013785","403cfb42247f352b8ab70514eedf5c51",300
"C013785","d37f36e6d59d8cbdadb7c0cfda0d4d38",77
"C013785","39bff7ee94907d997b0193107ed55afe",35
"C013785","e9638122e5609bd085f7898331f8222e",75
"C013785","3d9139169abbf57463c48d7da29737da",85
"C013785","e4cd625f541b57173288dabf59141322",68
"C013785","9d2ed604a04d940c0d7895a8af961e59",8
"C013785","9cf02569bb77e654b9aee4df6e5668d0",38
"C013785","c9f50a0357675f550408fd440c204683",59
"C013785","c76abb9efea29b546d5d7116f7534fff",6
"C013785","872fdc392d9f9fe7946cb10a49b1446e",37
"C013785","b348ad20759d2ecb6dea7e963d6bdb82",85
"C013785","a5ff7c3f61dc586073af38e0918936c3",136
"C013785","407c68ac8e0bf3e7c5cdbe124ce6ff68",61
"C013785","40cddab84dfc30c529cb2b16b7c3e3cd",104
"C013785","11cfc23849159b5fe6fd6fb3a543abbe",441
"C013785","e9bfd92cd7ebe540272e59f57aac4759",6
"C013785","7dae0edd6bd6be94622339f8882a0978",47
"C013785","110ddafafff3a28bf30fa491245965a6",28
"C013785","054f65da669ac1814c0345e457ff93b3",40
"C013785","6ab9bbcbd4ea577b126e62b09372b1b0",110
"C013785","d278d54b2a182c59ab52865ca2ecf964",28
"C013785","03152a4b116dd8901e1cdd13423129f6",37
"C013785","ae347e3c5b3a598c4b5a14109985f8eb",50
"C013785","ffdac4d27b2bcef29764709fdba88412",56
"C013785","f00c5b924bc30c25779e4f79df7146fb",191
"C013785","817082870b394805a5041d87dd09ba13",138
"C013785","391f1976bfe0c51cfa33b6a1b1d91451",182
"C013785","16151df2e965ce1768c2e0e8f5c0dac2",7
"C013785","e6b70d3e5b988f4b4e6785a7c8c317df",59
"C013785","95041e849190e6ceea56df4104fb3058",71
