"oligos_id","asv_md5","count"
"C013785","d9f6dae59e085f8c5ef3fd45fcfd271f",16271
"C013785","ff4168f7dcc985c792c8d4ba79ca410e",16973
"C013785","1eeb84bdb0f4c9b676a349570510da80",5342
"C013785","3e284a23c7e3951c79a8fc7840b58e1d",5471
"C013785","086e03b8b3b3aab02a74bfee48279145",2914
"C013785","22906dbbc966f0b092d8930fbf844b36",2689
"C013785","5e0eda046447a51941b516476494eb49",383
"C013785","c63fee580dc2ab4930311598ced1d31c",362
"C013785","e980674deef10b8eb25f03073b8a876d",12
"C013785","4341830a92aacecc15fda36fdb3f894d",11
"C013785","783aee24cbdbce7e111cc6d05e5348d0",144
"C013785","a578695a6ce9b9ae43c22aa71e44aab5",6
"C013785","635c747d1aecc4045716d96334169bc0",173
"C013785","b9ec8c7459ca9383e76b6ca9b415ade5",20
"C013785","df7c1a04e127721f10462730ee129835",150
"C013785","17cb9f6d8a350ac88b4d09304c56e269",150
"C013785","29ebabc5385e9fdebb6addbd8e9639d5",124
"C013785","cfa0e5d56bcf6ea68f4d852d90cf1a4c",125
"C013785","52ff8efa6737ad51930a68dbaea8974b",382
"C013785","3f279abfe07648d45b1b6da4a0ef5ef8",326
"C013785","de9b13854a2089f5ba7bd46e6b11f6aa",129
"C013785","a64c6c2abe1c1a45c22a2a2e1dab3126",154
"C013785","eb6e557cfe22d37e8352511360e98547",137
"C013785","e31a4d211f33dc5810ae54f9d4135e6e",196
"C013785","f926917fe99bca15c4b5844a4aec4a13",130
"C013785","83ddd4f903918cc10374dde62b3a1eb3",143
"C013785","f8fac284cdb47372db1771ff91901f18",178
"C013785","3a47ad4b33c086f26eea8e258ec76698",171
"C013785","3db9af69aed5d5b30f60051aeaae9813",7
"C013785","919e35cff4af814b76304c49f5107f19",61
"C013785","5ad82c92d61d894575b9b166743f67cd",86
"C013785","75178890a3690fb184b441a1a55b4e3c",71
"C013785","b802e6277d40c82d60fee0e857f3bb67",275
"C013785","a433f8831ed274a4e108335a4dbacb42",98
"C013785","86c12c9ac8c88fd5a15aa18d8e728807",13
