"oligos_id","asv_md5","count"
"C013838","d9f6dae59e085f8c5ef3fd45fcfd271f",477
"C013838","ff4168f7dcc985c792c8d4ba79ca410e",444
"C013838","086e03b8b3b3aab02a74bfee48279145",351
"C013838","22906dbbc966f0b092d8930fbf844b36",166
"C013838","1eeb84bdb0f4c9b676a349570510da80",462
"C013838","3e284a23c7e3951c79a8fc7840b58e1d",447
"C013838","e980674deef10b8eb25f03073b8a876d",25
"C013838","4341830a92aacecc15fda36fdb3f894d",30
"C013838","a578695a6ce9b9ae43c22aa71e44aab5",477
"C013838","b9ec8c7459ca9383e76b6ca9b415ade5",286
"C013838","0df7be7fe559acd1c045dc8a7ceb8793",359
"C013838","dc1217df2cdede4f24cbe9d348298f2f",233
"C013838","783aee24cbdbce7e111cc6d05e5348d0",58
"C013838","5e0eda046447a51941b516476494eb49",82
"C013838","c63fee580dc2ab4930311598ced1d31c",75
"C013838","635c747d1aecc4045716d96334169bc0",51
"C013838","52ff8efa6737ad51930a68dbaea8974b",52
"C013838","1f65b5fb8869acfa36b690ba097a7882",174
"C013838","3f279abfe07648d45b1b6da4a0ef5ef8",61
"C013838","3d8383ac987b8b096c7ac0ef202dd885",113
"C013838","17cb9f6d8a350ac88b4d09304c56e269",12
"C013838","229138bdd7d280236427a8e8c0b5fb8b",206
"C013838","4bd211cbcbe46dcacc41ad67433c789b",198
"C013838","e31a4d211f33dc5810ae54f9d4135e6e",58
"C013838","de593e9c4dfe2bcd3bd5bb39b0d9d8d1",8
"C013838","83ddd4f903918cc10374dde62b3a1eb3",49
"C013838","f8fac284cdb47372db1771ff91901f18",48
"C013838","c8cbf77ec7c350addcde0b8cc85d38e0",125
"C013838","8e5d5ea573f589810c4e0ee553cc29b8",140
"C013838","3a47ad4b33c086f26eea8e258ec76698",61
"C013838","71b0fdcbe1190a49a747e9d0d30e8be9",158
"C013838","eb6e557cfe22d37e8352511360e98547",14
"C013838","f926917fe99bca15c4b5844a4aec4a13",15
"C013838","a64c6c2abe1c1a45c22a2a2e1dab3126",64
"C013838","de9b13854a2089f5ba7bd46e6b11f6aa",89
"C013838","487659277ad5def65c25caccc9df8dba",8
"C013838","29ebabc5385e9fdebb6addbd8e9639d5",32
"C013838","cfa0e5d56bcf6ea68f4d852d90cf1a4c",7
"C013838","184a8e859ea6101038fb22469ccfb5ac",41
